,term,TF-IDF
289,dukung,0.7272307061575951
36,allah,0.7269717708483383
1177,tekan,0.7269474360733705
704,makarim,0.7257910294147472
598,kontra,0.7230983433525875
321,forum,0.7207568032745748
1298,zina,0.7198083849963697
386,guwe,0.7192940198423741
951,perkosa,0.7172961974033709
70,arab,0.7086104187056099
1186,terooss,0.7071067811865476
600,konyol,0.7071067811865476
397,hahaha,0.7071067811865476
536,kawaall,0.7071067811865476
72,argumen,0.7071067811865476
492,jg,0.7067373352308471
695,maha,0.7061535382122432
223,cerdas,0.7056635518949943
196,bungkus,0.7041563685310475
1262,uu,0.7002293398675008
969,pintar,0.697586526507515
314,fakta,0.6950841212182172
586,knp,0.6940337382658774
602,koplak,0.6934029311852028
641,langgar,0.6895990360104909
1291,yakin,0.6831838916388737
5,adap,0.682495128664026
837,neng,0.6815037645317517
623,kuhp,0.6806885104251139
621,kuasa,0.6800358548161315
817,nadiem,0.6788343738792523
1113,slesai,0.6765544292547109
660,lengan,0.6751007505760281
636,laku,0.6716373621594098
852,ngebet,0.6705158733695495
15,ajak,0.6687481771191679
1227,tukang,0.6599132528444756
807,murid,0.6597275754314873
580,kl,0.6593030486437915
802,munafiq,0.656625277661567
1096,sikafer,0.656625277661567
535,kaum,0.6561318982671446
408,harga,0.6555665733972296
402,hal,0.6491971570437786
1160,tafsir,0.643596745062589
55,anggauta,0.6416046428382252
166,bngt,0.6413163537365977
556,keluarga,0.6402063561424641
973,pitar,0.6400648453585042
583,klu,0.6396554265870175
924,partai,0.6386168807434981
1061,seblm,0.6368028445961318
383,gulali,0.6368028445961318
676,lobang,0.633453586043194
968,pinjol,0.6305375245588665
1234,tutup,0.6296448238394939
419,heran,0.6260711574412594
327,gaduh,0.6183309191892109
417,hei,0.6156874275033172
793,muda,0.6153779183055944
604,koq,0.6147871445369587
389,haah,0.6147602816631786
846,ngapain,0.6128974874942783
1017,rela,0.612163073292993
1034,rubah,0.611492416587719
679,lokalisasi,0.6082008180220899
57,anisya,0.6070742395200295
91,azni,0.6070742395200295
796,mui,0.6062108840216851
156,binatang,0.6055779373896183
822,nama,0.6031518006088641
263,diem,0.603118654194138
4,adab,0.6023352968283092
977,pny,0.5995150073558865
244,dalem,0.598861273853333
109,bak,0.5974859062499899
1141,sumber,0.593476637226031
165,blm,0.5866986801324408
1068,sek,0.5778191120492938
90,azas,0.5773502691896257
718,manpaat,0.5773502691896257
747,memanfat,0.5773502691896257
307,endonesa,0.572241743836806
547,kecuali,0.5710339727811866
1072,sekular,0.5696715372636688
142,betawi,0.5633176552928083
107,baik,0.5629735048491336
1014,realita,0.5592161987364217
989,prestasi,0.5588340891468554
1040,ruwet,0.5588340891468554
1140,sukak,0.5573312482440255
805,munkin,0.5573312482440255
506,jumbo,0.557161531170826
197,buntel,0.5556560484454417
563,kentut,0.5556560484454417
285,drp,0.5555045927723742
1297,zholim,0.5555045927723742
1183,teriak,0.5534945916561744
972,pisah,0.5532797323565694
102,bagai,0.5486095694227495
1230,tulis,0.5475689548492203
251,darurat,0.546581528987629
494,jgn,0.5433246024474309
1000,pun,0.5432858852974063
538,kaya,0.5374192445100238
1031,risikoberikhtilath,0.535477448198618
1154,syariat,0.535477448198618
935,pdip,0.5335157464986955
112,banyak,0.5329012279193126
1159,tafirnya,0.5293484271910023
959,permendikti,0.5293484271910023
1187,terus,0.5276428045389241
668,liat,0.5269370748099329
87,ayam,0.5259367812246418
967,pilih,0.5252761634988026
1179,tentang,0.5250217132121691
963,pidana,0.5247588200675207
228,cipta,0.5243431761655852
433,horrayy,0.5237115969978748
613,kpan,0.5237115969978748
96,babey,0.5237115969978748
720,mantap,0.5237115969978748
313,fakboy,0.5237115969978748
1075,selese,0.5237115969978748
284,dr,0.522580223898533
146,bgtu,0.5194996788685722
905,pa,0.5194996788685722
608,koruptor,0.5193075840325597
80,asu,0.5193075840325597
1168,tanggulang,0.51652989255647
667,liar,0.51652989255647
283,dpt,0.514975639396869
476,jaga,0.5125393430097169
1181,terap,0.5075927614458138
917,paksa,0.5069100945754401
577,khusus,0.5065939972601217
468,istri,0.5064557851341699
559,kemendikbud,0.5061968034038409
1163,tambah,0.4981076576206273
862,nggak,0.4969864927638985
38,ama,0.49449901876876007
28,al,0.49397908167963567
1232,tuntun,0.49397908167963567
1006,quran,0.49397908167963567
393,hadehh,0.4932232185000853
226,chat,0.49146492154952837
516,kagak,0.49146492154952837
148,bhahaha,0.49146492154952837
1268,vera,0.49110184171214616
725,masalah,0.49040447460071224
259,dewan,0.48962830921004175
74,arigatoguzaimasu,0.4886842408171665
1055,save,0.4886842408171665
984,posisi,0.4884738272997562
632,lagh,0.4882330488902349
1271,wajah,0.48598386981224057
518,kakak,0.48598386981224057
214,cantik,0.48598386981224057
1088,senyum,0.48598386981224057
748,memgusulkan,0.4855276013149834
752,mencermiinkan,0.4855276013149834
797,muka,0.4855276013149834
54,anggar,0.4817869229088042
998,proyek,0.4817869229088042
1196,timur,0.4793218208706531
332,galiat,0.4782179568724808
330,gajelas,0.4782179568724808
1253,urgensi,0.4782179568724808
874,niat,0.4759313583136653
899,oknum,0.4741624153178441
643,langsung,0.46632014707285757
708,maksiat,0.46632014707285757
957,permendikbudristek,0.46622543027375996
385,guru,0.4661701250764081
1009,rambu,0.46315280204024434
71,arah,0.46128867777210036
1038,rusuh,0.46051791209448883
587,knpa,0.46051791209448883
724,mas,0.46008123863822714
477,jah,0.4600037680056964
381,grepe,0.459583850969345
351,gendut,0.459583850969345
240,cwe,0.459583850969345
446,ijin,0.4574081659384436
1035,rugi,0.45680440332075056
1003,pura,0.45654310332019415
918,panca,0.45593127467724714
310,esa,0.45593127467724714
77,asa,0.45500198198453035
75,arti,0.4548254278628915
864,ngibul,0.45297776130622197
410,hasaan,0.45297776130622197
1103,siswa,0.45291685879172655
1062,sebut,0.4512983052401087
715,manggil,0.45089633511356053
454,inget,0.44866500142427285
1292,yaman,0.4485523578619336
508,junjung,0.44414110301632564
562,kenceng,0.44414110301632564
374,gokil,0.44399198580513266
713,mampu,0.44399198580513266
348,gemuk,0.44358965478877727
401,hak,0.44358965478877727
391,hadeehh,0.44358965478877727
62,apa,0.4430533168762839
270,diskusi,0.4380714771428484
1243,ular,0.4380714771428484
130,beludak,0.4380714771428484
1042,rx,0.43531456062753465
730,masyaallah,0.43531456062753465
216,cari,0.43460362645879735
344,gembor,0.4320900150073784
343,gembar,0.4320900150073784
1215,trgantung,0.4320900150073784
665,lh,0.4320900150073784
961,perzinahan,0.4315639779477559
523,kali,0.4279883478463875
914,pakai,0.42775332513718195
134,bentuk,0.42724198371857264
895,ogah,0.42613646039355957
792,muak,0.42613646039355957
423,hidup,0.42598247937011746
821,nalar,0.42543812290992217
110,banding,0.42543812290992217
191,buk,0.42543812290992217
746,memahamai,0.42477648401350343
304,emang,0.42455426998020773
298,efek,0.42428132338306423
920,pandai,0.42428132338306423
1092,sesuai,0.4234301886846893
76,artis,0.4223051361583553
129,beliau,0.4210052237337204
1169,tanggung,0.4210052237337204
626,kunci,0.42086349891261876
56,angkat,0.42007291446713885
1121,sngat,0.42007291446713885
627,kuning,0.42007291446713885
1144,suruh,0.41631528725787814
147,bh,0.41588098917464794
520,kalah,0.4158759619382394
840,ngaco,0.4145618244672035
352,generasi,0.4145618244672035
630,kyk,0.413607259022921
127,belagu,0.41027516214941356
271,dkk,0.4070516026646349
979,pola,0.4059115963999549
1104,siswi,0.4029715439621786
301,eka,0.40258569975948105
125,bekebudayaan,0.40258569975948105
60,anut,0.40258569975948105
46,ancam,0.40132486535822287
292,dunia,0.3962095429700016
234,comot,0.39511280092587214
1197,tindak,0.3943345332588192
33,alesanya,0.3914844260750043
118,bayar,0.3913704064597133
317,feminism,0.3902816952548995
315,fallacy,0.3902816952548995
