namanya;namax
kiri;kiriii
kayak;kyk
bungkuskan;bungkusin
satu;atu
deh;dehhhh
dong;dongg
kak;kakk
menggantikan;ngegantiin
allah;alloh
sampai;smpe
masih;msh
terasa;trsa
kehadirannya;khadirannya
pikiran;fikiran
khayalanku;hayalanku
baru;bru
menonton;nton
jadi;jdi
mengapai;ngapain
ya;yaa
surga;surgaa
kangen;kangenn
kangen;kgn
kak;kakkkkk
rindu;rinduuuuuuuuu
meninggalkan;ninggalin
semoga;smg
terangkan;terangkhn
banget;bgtttt
kenapa;knp
untuk;tuk
selama;slama
orang;orng
bangunlah;bngunlah
kak;k
bangun;bngun
ya;ea
ku;qu
hari;hiri
kalo;klo
"teman-temannya;teman""ny"
begitu;gtu
saja;aza
dari;dr
"teman-temannya;teman""ny"
nya;ny
almarhum;alm
sekarang;skrg
kenapa;knpa
sih;sie
benar;benet
banget;bangetttt
tuh;tuu
sekarang;skrang
enggak ada;gda
terus;trus
menggantikan;gantiin
sama;sma
jadi;jdi
enggak;gak
kata;kta
kalau;kklau
di;d
acara;acra
enggak;gk
sama;sma
kasihan;kasian
banget;bangett
ya;yaaa 
benar;bnerr
emak;emk
teman;temenn
pengin;pngenn
terkenal;terkenall
saja;ajhh
enggak;gk
sungguh-sungguh;sungguh2
menjadi;mnjadi
sahabat;shbt
kak;k
benar;bner
banget;bgt
katanya;ktny
sahabat;shbt
sekarang;skrg
pada;pda
dimuseumkan;dimusiumin
enggak;ga
bantu;bntu
pada;pda
dulu;dlu
kalo;klo
enggak ada;gda
pada;pda
sudah;udh
pada;pda
kangen;kangem
amin;amiiin
semua;smua
selamat;slmt
jalan;jln
"mudah-mudahan;mudh""an"
tenang;tenny
di;d
sudah;sdh
yang;yg
tanya;tnya
belum;blm
tadi;td
sebelum;sblm
ya;yah
boleh;bole
lah;lahhh
tapi;tp
belum;blm
dapat;dapet
maaf;maap
enggak;gk
cuma;cm
sayang;syg
kemarin;kmrn
waktu;wkt
di;d
sama;ama
aku;ak
lihat;lht
biasa-biasa;biasa2
menurutku;mnrtkuu
terus;trs
mengikuti;ikutin
jadwal;jdwl
ya;yaaa
jangan;jgn
wajib;wajiiib
amin;aaaammmiiiinnnn
ditunggu;dtnggu
ya;yah
jangan;jan
kunjungi;kunjungin
lagi;lagiiii
waktunya;waktunyaaa
diluangkan;diluangin
ya;yaa
terima kasih;makasih
juga;jga
admin;mimin
istimewa;istimewaaa
belum;blom
sempat;sempet
menangis;nangis
karena;karna
"mengaku-ngaku;ngaku"""
dia;diaa
dong;donkk
enggak;gak
terjawab;kejawab
ya;yaaaa
seru-seruan;seru2an
mohon;mohom
terbalas;kebalas
ya;yaaa
ikuti;ikutin
menyempatkan;nyempetin
waktunya;wktunya
kak;kaaaa
menyempatkan;nyempetin
mengobrol;ngobrol
banget;bangett
menamai;namain
balas;bls
ijab;ijap
kabul;kobul
dengan;dgn
cowok;co
pasti;pst
ingat;inggat
berdua;brdua
masih;masing2
sudah;sdh
punya;pny
berdua;brdua
sangat;sanggat
sip;siipp
lah;laa
dalam;dlm
hidup;hdup
hidup;hdp
terus;trus
kedepan;kedpan
semoga;smoga
mendapatkan;mndaptkan
yang;yng
"menutup-nutupi;nutup""in"
perlihatkan;liatin
iya;iyah
saja;sja
kak;kakkk
saja;za
mulut-mulut;mulut2
pengin;peengn
tuh;tuch
mantap;muantteepp
cepat;cpt
merit;mrit
ya;y
mengapa sih;ngapasih
ini;ni
sebegitunya;segitunya
foto;fto
pakai;pke
malas;males
menyisakan;sisain
selamat;slamt
nanti;nantiii
edan;edaaan
memang;emg
benar-benar;bener2
tunggu-tunggu;tunggu2
sehat-sehat;sehat2
cie;ciyeeeeeee
pantas;pantes
kelahirannya;lairannya
jamnya;jmnya
saja;ajha
sama;ama
nya;nyaaaa
mencari;nyari
amien;amiien
semoga;smoga
terbaik;terbaikkk
ayah;ayahh
entar;ntar
saja;ae
indak;ndak
mengerti;ngerti
mereka;mrekaaaa
ya ampun;yaampuuuunnnn
ya;yha
menyanyikan;nyanyiin
ah;ahhh
banget;bnget
pengin;pgen
hendak;hdk
tempat;tempt
nya;ny
kah;kh
hendak;hdk
begini;bgini
aku;aq
berani;brani
enggak;gak
kamu;km
aku;aq
jalan-jalan;jalan2
ya;yaaa
asyik;asyikkkkk
iri;iriiiii
mengajak;ngajak
ya;yakk
nah;naaaaahh
kakak;kka
jangan;jgn
ya;yak
tetap;ttep
seperti;sperti
jarang;jrang
masuk;msuk
gosip-gosipan;gossip2.an
mak;makkk
mengapai;ngapain
gue;guee
pengin;pengennn
entar;ntar
ya;yeee
kalo;klo
sudah;udh
gila;gilzz
menyaru;nyaru
saja;aja
kakak;kk
gila;gilaaa
jadi;jd
kebarat-baratan;kebarat2an
oh;ohh
mantab;mantabs
jangan;jgan
malu;mlu
payah;payahh
mantap;ntaf
benaran;beneran
"mudah-mudahan;mudah""n"
terus;trus
enggak ada;gada
yang;yg
enggak ada;gada
yang;yg
memiliki;milikin
kamu;kamo
ini;inih
tuh;tuhh
suruh;suru
cantik;syantik
suka;sukaaaa
suka;sukaaaaaa
mengira;kirain
mahal;mehoonggggg
apik;apikkkk
ya;yach
keren;kereenn
begini;ginii
ayo;ayoook
yoi;yoiii
begitu;gituuu
iya;iyaaa
pengin;pgn
lipstik;liptsk
dari;dr
menjiplak;nyeplak
banget;bgt
kayak;kyk
cewek;cw
cewek;cw
kemarin;kmarin
mengencang;mengncang
tau;tauu
kasih;ksh
sekarang;skrng
terima kasih;mksh
gara-gara;gara2
anak;ank
sekitar;skitar
ketemu;ktmu
