,term,TF-IDF
1394,solusi,1.0056930786090412
149,benaar,1.0
476,guru,0.9973325464340315
634,kadron,0.9931826546599547
773,laki,0.9914390341908275
1461,temen,0.989163951227745
1146,pecat,0.9792635772443836
245,cabul,0.9723271729100246
658,kaum,0.9689259409000699
64,anggauta,0.9644868547958316
1546,ulama,0.9522155570806612
1047,ngomong,0.9519333374828977
111,bahas,0.9456491323098173
840,macem,0.9452544300242183
414,fokus,0.9440103794377614
1202,polemik,0.9420371470323841
1419,susah,0.9394877303100055
1219,presiden,0.9377588259779661
841,maen,0.9377376396773538
1182,pidana,0.9374499082907036
304,dasar,0.9351819387618122
660,kawin,0.9348862738171093
61,anehny,0.9309901787513792
901,menrisex,0.9301941549843047
1465,tentang,0.9272339216567081
1250,rakyat,0.925409940971222
987,nadim,0.9231569899258543
843,maha,0.9230210599507267
286,cpt,0.9194952913172507
540,ijin,0.9139719764979012
574,isteri,0.9120099897163986
1325,sek,0.9076216022122752
15,aduh,0.9071147550472186
1436,tafsir,0.9042656108438316
570,islam,0.9014058334897433
297,dalih,0.9010751259622695
1259,rasuk,0.898050234701672
1330,sekulib,0.896400293606139
1452,tau,0.8943872470547195
807,lgbt,0.8902735438710635
842,mah,0.8890956320498716
770,lacur,0.8863369883624628
25,ajar,0.8840559665673693
1552,uninstal,0.8758764532809841
1332,selangkang,0.8726402644172002
62,anggap,0.8686129029590632
1040,ngeres,0.8607509635172721
1103,orang,0.8577993884265598
576,istri,0.8566873719372985
521,hotel,0.852724063032678
73,api,0.8521580094287988
1115,pada,0.8486781188743497
1459,teman,0.8467867733972343
451,giat,0.8460650185697575
133,bayar,0.8443313061592298
1181,photo,0.8416341051818466
1521,tubuh,0.84068365956244
1487,tinggal,0.8386586922617523
148,belok,0.8311403951570191
1334,selese,0.8304477445235825
39,alesanya,0.8281945023223616
479,gw,0.8249224304556817
431,gampang,0.8225770181587256
707,kl,0.8217469472598228
973,mulu,0.8211107796261696
1384,sllu,0.8207079726132247
153,bener,0.8175630455048186
388,efek,0.8172509839275375
1574,very,0.813052495274474
866,manusia,0.8122938598465372
524,hr,0.8114553300284599
439,gaul,0.8101343158994596
1044,nggak,0.8069870646162707
60,ane,0.8016114630790392
467,goreng,0.8005432699479246
1290,rugi,0.7995046495382035
530,huruf,0.798748528699231
976,mundur,0.7925750484331322
1512,trus,0.7922675868603037
412,fisi,0.7921085321701569
254,cecep,0.7912391593723819
1485,timbul,0.7900205972255804
459,gk,0.7878828818806238
1347,sentuh,0.7830934431472469
1156,penting,0.7776058080574747
996,nangiss,0.773273281491188
381,dunia,0.7704910511580897
879,mati,0.7701515441844028
573,islamis,0.768178257796545
588,jadi,0.7677237476102845
1046,ngojek,0.7619919418489273
191,bla,0.7603388128810745
904,menteri,0.7598981045095045
945,moga,0.7567887834570857
923,mk,0.7547548473540907
1281,riza,0.7540801339519272
762,kun,0.7540801339519272
393,enak,0.7540445002682721
1014,negeri,0.7483246995243675
105,bacot,0.7480141689962592
1531,tunggu,0.746415947495829
1154,penjara,0.7455154850670377
1081,nyerang,0.7444409845726387
1120,pakai,0.7379020406171615
821,literasi,0.7332309057785156
366,doyan,0.7329479205845332
156,bentuk,0.7319177735112261
1135,pasang,0.7286985213187162
358,dmitrii,0.7275158009798954
1,aborsi,0.7267191882265812
233,bungkus,0.7184860082661055
1283,rkuhp,0.7149339248042432
764,kurng,0.7118565853773432
664,kbbi,0.7115988401016673
1099,online,0.7099946039957133
1572,verbal,0.7090478768738584
280,comot,0.7087071556549066
898,mengmangtap,0.7071067811865476
906,menyimaak,0.7071067811865476
1535,turuut,0.7071067811865476
688,kentu,0.7071067811865476
49,ambigu,0.704812189061363
1178,perzinahan,0.7036979974917126
1523,tuhan,0.7036440983391532
1455,tdk,0.702960533759196
565,inti,0.7027809713032972
810,lha,0.7021241660302309
1077,nyampe,0.6998271063725574
654,kasi,0.698716623597406
1350,serah,0.6977194695162883
1234,pun,0.697487308997463
813,liat,0.6890115073069848
1207,pondasi,0.6860217214880895
1458,teliti,0.6837255042790538
426,gaduh,0.6819391632303022
1316,sebab,0.6804847952430537
1256,rancang,0.6789657512099233
1429,syarat,0.6788640465769277
1227,proses,0.676883269868342
1368,simak,0.6767032778654989
84,assalamualaikum,0.6762354156974871
1383,slesai,0.6761721999256158
641,kalang,0.6752284079605111
1303,sampe,0.672379771226273
857,males,0.6712982908856654
2,abu,0.6704427006379434
899,meni,0.6692295157035556
1441,tambah,0.667366089217976
1294,rush,0.667070379174431
306,day,0.667070379174431
56,ancur,0.6670644461038611
8,adap,0.6667092484832775
768,kyk,0.6654945839911766
398,esa,0.6644458855889596
493,hancur,0.6621468819394163
953,mreka,0.6621043004937623
113,baik,0.6603607882068399
1329,seksualitas,0.6586565552580375
489,halal,0.6517096245678278
806,lg,0.6495423991604268
503,hati,0.6466446951542864
825,lobang,0.6423056167154958
644,kalimat,0.6385208270845651
21,ahirnya,0.6380879794338653
14,adu,0.6345092971055023
598,jatuh,0.6338494083832136
75,apps,0.6337065062825524
1159,penzinahan,0.6326199549013238
1067,nolak,0.6323930339553047
1187,pinjol,0.6311123258226177
352,dlm,0.627545174491078
606,jepang,0.627153080718525
954,mrk,0.6243077001116182
519,hormat,0.6209144215299433
124,banyak,0.6194591683180461
199,bngt,0.6193958516531984
144,belah,0.6190154275316018
327,dian,0.6180609101480014
262,chanel,0.6180609101480014
506,hehehe,0.6179860380133674
1593,wilayah,0.6170756074362352
309,debat,0.6160929419461385
1478,tetap,0.6148967379853321
303,darurat,0.614808401877417
378,duli,0.6136523800507293
1008,naudzubillah,0.6134525268654901
1292,rujuk,0.6134525268654901
1370,single,0.6129986808730066
130,bawa,0.612932977659927
126,barat,0.6084780196976411
847,main,0.6051960008377681
135,bbas,0.6026464024973047
1379,skrg,0.6026260510061072
3,acak,0.6021090422149192
1139,paud,0.5990158883275489
612,jgn,0.5979488853528924
223,bu,0.5961397959663787
824,lo,0.5946748402007471
